"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 00:00","2024","05","01","00:00","","9.1","","8.0","","93","","0.0","","","","","","","","99.96","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 01:00","2024","05","01","01:00","","9.1","","8.1","","93","","0.0","","","","","","","","99.95","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 02:00","2024","05","01","02:00","","9.2","","8.0","","93","","0.0","","","","","","","","99.97","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 03:00","2024","05","01","03:00","","9.4","","8.4","","93","","0.0","","","","","","","","100.00","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 04:00","2024","05","01","04:00","","8.7","","7.7","","93","","0.0","","","","","","","","99.97","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 05:00","2024","05","01","05:00","","8.9","","8.0","","94","","0.0","","","","","","","","100.02","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 06:00","2024","05","01","06:00","","8.5","","7.7","","95","","0.0","","","","","","","","100.09","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 07:00","2024","05","01","07:00","","8.6","","7.8","","95","","0.0","","","","","","","","100.10","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 08:00","2024","05","01","08:00","","10.0","","8.2","","89","","0.0","","","","","","","","100.12","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 09:00","2024","05","01","09:00","","11.6","","8.2","","79","","0.0","","","","","","","","100.14","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 10:00","2024","05","01","10:00","","12.2","","8.8","","80","","0.0","","","","","","","","100.08","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 11:00","2024","05","01","11:00","","10.5","","7.1","","80","","0.0","","","","","","","","100.03","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 12:00","2024","05","01","12:00","","11.8","","7.4","","74","","0.0","","","","","","","","99.95","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 13:00","2024","05","01","13:00","","15.1","","9.1","","67","","0.0","","","","","","","","99.88","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 14:00","2024","05","01","14:00","","16.5","","10.7","","69","","0.0","","","","","","","","99.79","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 15:00","2024","05","01","15:00","","15.1","","9.2","","68","","0.0","","","","","","","","99.73","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 16:00","2024","05","01","16:00","","13.7","","8.6","","71","","0.0","","","","","","","","99.69","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 17:00","2024","05","01","17:00","","13.5","","8.3","","71","","0.0","","","","","","","","99.64","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 18:00","2024","05","01","18:00","","13.6","","8.0","","69","","0.0","","","","","","","","99.60","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 19:00","2024","05","01","19:00","","13.0","","7.8","","71","","0.0","","","","","","","","99.58","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 20:00","2024","05","01","20:00","","12.4","","7.9","","74","","0.0","","","","","","","","99.63","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 21:00","2024","05","01","21:00","","11.9","","7.9","","76","","0.0","","","","","","","","99.72","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 22:00","2024","05","01","22:00","","12.2","","8.2","","77","","0.0","","","","","","","","99.76","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-01 23:00","2024","05","01","23:00","","14.4","","8.2","","66","","0.0","","","","","","","","99.78","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 00:00","2024","05","02","00:00","","13.9","","8.5","","70","","0.0","","","","","","","","99.83","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 01:00","2024","05","02","01:00","","13.3","","8.3","","72","","0.0","","","","","","","","99.86","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 02:00","2024","05","02","02:00","","11.8","","8.0","","77","","0.0","","","","","","","","99.89","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 03:00","2024","05","02","03:00","","11.6","","7.6","","76","","0.0","","","","","","","","99.94","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 04:00","2024","05","02","04:00","","11.8","","6.8","","71","","0.0","","","","","","","","100.00","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 05:00","2024","05","02","05:00","","11.9","","6.3","","69","","0.0","","","","","","","","100.09","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 06:00","2024","05","02","06:00","","11.1","","5.9","","71","","0.0","","","","","","","","100.22","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 07:00","2024","05","02","07:00","","11.5","","5.6","","67","","0.0","","","","","","","","100.30","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 08:00","2024","05","02","08:00","","12.6","","5.7","","63","","0.0","","","","","","","","100.36","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 09:00","2024","05","02","09:00","","14.3","","6.6","","60","","0.0","","","","","","","","100.39","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 10:00","2024","05","02","10:00","","15.5","","6.5","","55","","0.0","","","","","","","","100.48","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 11:00","2024","05","02","11:00","","15.7","","6.0","","52","","0.0","","","","","","","","100.50","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 12:00","2024","05","02","12:00","","16.9","","6.3","","50","","0.0","","","","","","","","100.43","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 13:00","2024","05","02","13:00","","18.7","","6.0","","43","","0.0","","","","","","","","100.36","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 14:00","2024","05","02","14:00","","19.7","","7.2","","44","","0.0","","","","","","","","100.32","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 15:00","2024","05","02","15:00","","18.5","","7.7","","49","","0.0","","","","","","","","100.33","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 16:00","2024","05","02","16:00","","18.8","","7.1","","47","","0.0","","","","","","","","100.30","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 17:00","2024","05","02","17:00","","18.4","","7.9","","50","","0.0","","","","","","","","100.31","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 18:00","2024","05","02","18:00","","17.3","","6.8","","50","","0.0","","","","","","","","100.33","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 19:00","2024","05","02","19:00","","16.8","","6.4","","51","","0.0","","","","","","","","100.36","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 20:00","2024","05","02","20:00","","15.9","","6.4","","53","","0.0","","","","","","","","100.36","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2024-05-02 21:00","2024","05","02","21:00","","15.4","","6.8","","56","","0.0","","","","","","","","100.42","","","","","","NA"
